id,tgt_text,target_keywords,allm_output,prompt,audio_sound,spoken_text,audio_only_target,speech_only_target
66,They are likely defusing a bomb.,defuse a bomb,"The audio features a distinct sound of a wire being cut, followed by a question about which wire to cut. This combination of a cutting sound and a query about which wire to cut strongly suggests that the speakers are engaged in the process of cutting wires. The question itself indicates they are deciding which specific wire to cut, implying they are working on a task that requires careful selection of wires, such as electrical work or a similar technical task.",What are the speakers likely doing?,Tick-tock,Which wire should I cut?,They are likely timing or measuring time.,They are likely troubleshooting or repairing an electronic device.
67,They are likely playing chess.,chess,"The audio features a distinct sound resembling a button press or a device activation, immediately followed by a clear spoken command. This sequence of a physical action (pressing a button) and a verbal instruction (""Check"") strongly suggests the speakers are performing a procedural task, likely involving the operation or verification of a device or system. The combination of the sound and the command points towards a step in a process such as initiating a function, confirming readiness, or performing a system check.",What are the speakers likely doing?,Wooden piece move,Check.,They are likely moving a wooden piece.,They are likely playing a game.
68,They are likely watching a comedy.,comedy,"The audio features a distinct sound effect resembling a basketball bouncing, immediately followed by a clear statement praising ""Jim Curry"" as a ""genius."" This combination of a specific sound effect and a direct verbal reference to a basketball player strongly indicates that the speakers are engaged in an activity related to basketball, likely discussing or reacting to the sport. The praise for Curry as a ""genius"" further suggests they are analyzing or commenting on his performance or skills. Therefore, based on the audio cues, the speakers are likely discussing or reacting to basketball, specifically praising Curry's abilities.",What are the speakers likely doing?,Laugh,Jim Carrey is a genius.,They are likely having fun.,They are likely talking about movies.
69,They are likely making coffee.,coffee,"The audio features a distinct sound of a coffee machine brewing, followed by a female voice speaking. The spoken text explicitly states, ""Try these new beans."" This combination of sounds and speech strongly indicates that the speakers are engaged in the process of making coffee using new coffee beans.",What are the speakers likely doing?,Pour water,Try these new beans.,They are likely pouring water.,They are likely offering someone food.
70,They are likely grinding coffee beans.,coffee,"The audio features a distinct sound of a zipper being opened or closed, followed by a male voice speaking. The speaker says ""These are from Brazil."" This combination of a zipper sound and the mention of ""Brazil"" strongly suggests that the speakers are handling or examining items that are being opened or closed, and identifying them as originating from Brazil. Therefore, the most likely activity is the handling and identification of items from Brazil.",What are the speakers likely doing?,Grinder,These are from Brazil.,They are likely grinding something.,They are likely discussing the origin of some items.
71,They are likely hiking.,hiking,"The audio features a distinct sound of a heavy object being moved, followed by a speaker expressing surprise at the object's weight. This combination of sounds and speech strongly suggests that the speakers are engaged in the physical task of moving or handling a heavy object.",What are the speakers likely doing?,Birds chirping and wind blowing,You can't believe how heavy this is!,They are likely outside in nature.,They are likely lifting something heavy.
72,They are likely playing on a swing.,swing,"Based on the audio, the presence of a child's voice and the sound of a toy car being moved, combined with the spoken phrase ""I think we can go home,"" strongly suggests that the speakers are engaged in a playful activity involving a toy car, likely a game or imaginative play, and are concluding this activity by deciding to leave.",What are the speakers likely doing?,Children laughing and playground noises.,I think we can go higher!,They are likely playing at the playground.,They are likely climbing.
73,They are likely hiking in the mountains.,"hiking,mountain","The speaker's statement, ""Look, the clouds are below us,"" directly indicates that they are observing their surroundings from a vantage point above the clouds. This observation, combined with the ambient sound of wind, strongly suggests they are in an aircraft, looking down at the clouds from above. Therefore, the speakers are likely flying in an aircraft.",What are the speakers likely doing?,Birds chirping and wind blowing,"Look, the clouds are below us.",They are likely outside enjoying nature.,They are likely flying in an airplane.
74,They are likely changing a baby’s diaper.,diaper,"Based on the audio, the presence of a distinct sound resembling a spray bottle being used, combined with the speaker's exclamation ""Oh, that stinks,"" strongly suggests that the speakers are engaged in an activity involving the application of a substance that produces a foul odor. The spray sound indicates the use of a spray bottle, and the phrase ""that stinks"" directly expresses a reaction to the unpleasant smell. Therefore, the speakers are likely using a spray bottle to apply something that emits a bad smell.",What are the speakers likely doing?,A baby crying,Oh that stinks!,They are likely comforting a baby.,They are likely reacting to something unpleasant.
75,They are likely ordering food from a drive-thru or street vendor.,"drive-thru,street vendor","The audio features a distinct sound of a vehicle door opening and closing, followed by a clear spoken request: ""No onions, please."" This combination of sounds and speech strongly indicates that the speakers are likely interacting with a vehicle, possibly a food truck or delivery vehicle, and the request is related to the contents of the vehicle, specifically the absence of onions. Therefore, the speakers are likely placing an order or requesting a modification to a food item from a vehicle.",What are the speakers likely doing?,"Traffic noise, car horns",No onions please.,They are likely driving or walking in a busy street.,They are likely ordering food.
76,They are likely tailoring or designing clothes.,"tailor,design","Based on the audio, the speaker is engaged in a task involving fabric or clothing, as indicated by the sound of fabric being handled. The spoken text, ""Red sleeves look much better than blue,"" directly relates to the visual appearance of sleeves, suggesting the speaker is evaluating or comparing sleeves. Therefore, the combination of the sound of handling fabric and the comment about sleeve color indicates the speaker is likely involved in a task related to clothing, such as sorting, selecting, or evaluating sleeves.",What are the speakers likely doing?,Scissors cutting,Red sleeves look much better than blue.,They are likely cutting something with scissors.,They are likely discussing clothing or fashion choices.
77,They are likely at a live concert.,"live,concert","The audio features a distinct sound of a bell ringing, followed immediately by a clear instruction from a speaker: ""Everybody hands up."" This combination of a signal (the bell) and a directive (the instruction) strongly indicates that the speakers are engaging in an activity that involves raising hands in response to a cue. The bell serves as a signal for the participants to prepare or initiate the action, and the instruction confirms the specific action required. Therefore, the speakers are likely leading a group activity that involves raising hands in response to a signal.",What are the speakers likely doing?,Rock music,Everybody hands up.,They are likely listening to rock music.,They are likely encouraging a group to raise their hands.
78,They are likely getting sunburnt.,"sunburnt,sun","Based on the audio, the presence of a distinct sound resembling a camera shutter or a similar mechanical click, combined with the spoken phrase ""Look, you are so..."" suggests that the speakers are engaged in an activity involving capturing images or video. The phrase ""Look, you are so..."" is often used to draw attention to something being photographed or filmed, indicating that the speakers are likely observing or directing the subject of the recording.",What are the speakers likely doing?,"Waves crashing, faint seagulls",Look you are so red!,They are likely at the beach.,They are likely commenting on someone's flushed face.
79,They are likely fixing something.,fix,"Based on the audio, the speaker says ""Hope this can hold up for tonight."" This phrase, combined with the sound of a zipper being opened and closed, strongly suggests the speaker is preparing for the evening. The act of opening and closing a zipper is consistent with getting dressed or adjusting clothing, which is a common activity before going out or attending an event in the evening. Therefore, the speaker is likely getting dressed or preparing their outfit for the night.",What are the speakers likely doing?,Hammering,Hope this can hold up for tonight.,They are likely building something.,They are likely preparing for an event tonight.
80,They are likely going through a security check.,security check,"The audio features a distinct sound of a camera shutter clicking, immediately followed by a female voice asking, ""Laptop, camera, or pad?"" This combination of a camera sound and a question about common electronic devices strongly suggests that the speakers are engaged in a process involving photography or capturing images, likely using one of the mentioned devices.",What are the speakers likely doing?,"Zipper, crowd","Laptop, camera, or Pad?",They are likely getting dressed in a public place.,They are likely deciding which device to use.
